gene	Normal tissue	Normal tissue	Normal tissue	Normal tissue	Normal tissue	Normal tissue	Normal tissue	Normal tissue	Normal tissue	Normal tissue	Tumor tissue	Tumor tissue	Tumor tissue	Tumor tissue	Tumor tissue	Tumor tissue	Tumor tissue	Tumor tissue	Tumor tissue	Tumor tissue	Tumor tissue	Tumor tissue	Tumor tissue	Tumor tissue	Tumor tissue	Tumor tissue	Tumor tissue	Tumor tissue	Tumor tissue	Tumor tissue	Tumor tissue	Tumor tissue	Tumor tissue	Tumor tissue	Tumor tissue	Tumor tissue	Tumor tissue	Tumor tissue	Tumor tissue	Tumor tissue	Normal tissue	Normal tissue	Normal tissue	Normal tissue	Normal tissue	Normal tissue	Normal tissue	Normal tissue	Normal tissue	Normal tissue	Normal tissue
Hsa.3004	12.65703872	12.34361427	12.26332742	12.11268621	13.06849583	12.44432599	12.34361427	13.06849583	12.44432599	12.83988119	12.83988119	12.15132062	12.54138788	13.06849583	13.06849583	12.83988119	13.06849583	13.06849583	12.65703872	13.06849583	13.06849583	12.54138788	13.06849583	12.65703872	12.20955035	12.44432599	13.06849583	12.54138788	13.06849583	12.65703872	13.06849583	12.20955035	13.06849583	12.83988119	13.06849583	13.06849583	12.15132062	12.83988119	12.65703872	13.06849583	12.44432599	12.20955035	13.06849583	13.06849583	13.06849583	12.83988119	12.83988119	12.07438309	12.44432599	13.06849583	13.06849583
Hsa.13491	12.83988119	11.82799396	11.97838427	12.03401782	12.44432599	12.34361427	11.77686565	12.34361427	11.41062428	12.44432599	12.54138788	11.30076954	11.97838427	12.65703872	12.54138788	13.06849583	12.54138788	12.20955035	12.83988119	10.94505769	11.41062428	12.83988119	12.34361427	12.20955035	13.06849583	11.28240216	12.44432599	13.06849583	10.89912848	12.11268621	10.90885648	11.77686565	12.44432599	12.44432599	12.44432599	12.20955035	12.34361427	12.54138788	12.54138788	12.65703872	12.65703872	13.06849583	12.83988119	11.19828413	11.9366507	12.07438309	12.44432599	12.54138788	12.15132062	12.26332742	12.11268621
Hsa.13491	12.54138788	11.49923365	11.67486278	11.59457594	12.03401782	12.03401782	11.3633593	11.9366507	10.94505769	12.07438309	12.20955035	11.04101204	11.77686565	12.26332742	12.34361427	12.54138788	12.07438309	11.86162025	12.34361427	10.83618846	11.1680032	12.44432599	12.11268621	11.77686565	12.83988119	11.24603756	12.20955035	12.83988119	10.7356637	11.97838427	10.7356637	11.3248409	11.89052177	12.15132062	12.54138788	11.30076954	12.20955035	12.44432599	12.15132062	12.07438309	12.15132062	12.54138788	12.20955035	10.87455307	11.82799396	11.67486278	12.03401782	12.44432599	11.64708896	11.38387506	11.45214598
Hsa.37254	12.07438309	12.65703872	12.54138788	12.83988119	12.54138788	11.67486278	11.3248409	11.97838427	12.83988119	11.86162025	12.15132062	11.08957051	11.49923365	11.9366507	11.86162025	11.82799396	12.11268621	12.11268621	11.86162025	12.26332742	12.07438309	11.74489384	12.07438309	11.07365614	12.54138788	10.80830408	11.52325043	11.02115226	11.9366507	11.54484053	11.67486278	10.90885648	11.71348498	11.04101204	11.14978768	11.89052177	11.86162025	11.45214598	11.3248409	12.11268621	11.89052177	10.65383856	12.11268621	11.82799396	11.24603756	11.30076954	11.71348498	11.56843571	11.86162025	11.45214598	12.03401782
Hsa.541	11.41062428	11.67486278	11.08957051	11.28240216	11.28240216	11.71348498	12.44432599	12.20955035	11.71348498	10.56539695	10.70126957	12.20955035	11.56843571	11.28240216	11.19828413	11.42976375	10.61909998	11.07365614	11.38387506	11.54484053	11.74489384	11.41062428	10.84792936	12.34361427	10.41931121	12.11268621	11.86162025	11.61942862	11.59457594	10.79857266	11.52325043	11.28240216	10.88660755	12.34361427	11.9366507	11.24603756	11.45214598	11.48011655	11.77686565	11.34145471	12.54138788	11.19828413	11.26296974	10.7461311	10.60864622	11.59457594	11.74489384	11.49923365	10.82183402	10.7461311	11.28240216
Hsa.20836	11.48011655	11.56843571	11.64708896	12.20955035	11.77686565	12.07438309	12.83988119	11.30076954	11.56843571	12.26332742	12.65703872	12.26332742	12.07438309	12.34361427	12.83988119	12.34361427	12.83988119	12.54138788	12.54138788	12.07438309	12.83988119	12.15132062	12.54138788	11.48011655	12.26332742	11.97838427	12.83988119	11.82799396	11.86162025	13.06849583	11.41062428	12.34361427	12.83988119	11.89052177	12.15132062	12.15132062	11.49923365	12.26332742	13.06849583	12.54138788	11.77686565	12.83988119	10.98638845	12.34361427	11.34145471	13.06849583	13.06849583	11.71348498	11.3633593	12.65703872	12.65703872
Hsa.1977	11.04101204	11.19828413	10.88660755	11.97838427	11.26296974	11.97838427	12.07438309	11.24603756	11.59457594	11.89052177	11.61942862	12.11268621	11.71348498	12.20955035	12.44432599	12.11268621	12.65703872	12.03401782	11.74489384	12.34361427	12.15132062	11.61942862	11.48011655	11.3633593	12.03401782	12.34361427	12.26332742	11.07365614	11.42976375	12.44432599	11.48011655	12.03401782	12.20955035	11.24603756	11.1207522	11.9366507	11.05625705	11.86162025	12.26332742	11.54484053	12.03401782	11.82799396	10.9205578	11.67486278	11.86162025	11.97838427	11.86162025	11.1680032	11.82799396	12.44432599	11.49923365
Hsa.44472	11.22920307	12.26332742	12.03401782	11.56843571	10.84792936	11.82799396	10.60864622	12.44432599	12.07438309	11.49923365	11.82799396	11.97838427	11.9366507	11.04101204	10.97222513	11.49923365	10.51505582	10.89912848	11.1680032	11.38387506	11.52325043	11.9366507	11.00494963	12.15132062	11.49923365	11.59457594	11.28240216	11.52325043	11.48011655	10.84792936	11.64708896	11.56843571	10.53399641	11.61942862	11.77686565	11.13308813	11.19828413	11.42976375	11.64708896	10.80830408	12.34361427	11.22920307	11.9366507	11.14978768	11.05625705	11.1680032	11.49923365	11.61942862	11.28240216	10.03698028	11.13308813
Hsa.3087	12.03401782	11.59457594	12.44432599	11.9366507	12.83988119	11.64708896	11.56843571	12.54138788	11.89052177	12.65703872	12.26332742	11.28240216	11.89052177	12.54138788	12.65703872	12.26332742	12.26332742	12.65703872	12.20955035	12.65703872	12.34361427	11.97838427	12.65703872	11.82799396	12.44432599	11.48011655	12.34361427	11.89052177	12.54138788	12.07438309	11.77686565	11.14978768	12.65703872	12.20955035	12.07438309	10.35891329	11.56843571	11.71348498	11.74489384	11.97838427	11.86162025	10.78710647	12.15132062	10.60864622	11.59457594	12.03401782	12.11268621	11.07365614	12.07438309	12.34361427	12.34361427
Hsa.1447	12.26332742	11.21353984	11.86162025	11.64708896	12.15132062	11.74489384	12.65703872	11.45214598	11.34145471	11.9366507	13.06849583	11.52325043	11.86162025	11.74489384	12.20955035	12.20955035	12.20955035	11.9366507	13.06849583	10.40126887	10.65383856	11.89052177	12.44432599	11.34145471	12.07438309	11.67486278	12.03401782	12.65703872	11.18382795	11.67486278	11.13308813	11.41062428	11.41062428	11.49923365	12.83988119	11.71348498	12.11268621	12.34361427	12.11268621	11.61942862	11.74489384	12.44432599	11.64708896	11.41062428	11.61942862	11.89052177	12.34361427	12.26332742	11.9366507	12.11268621	11.38387506
